Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2019","2019","ha","11515545","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2019","2019","kg/ha","4740.2","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2019","2019","t","54586344","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5312","Area harvested","0113","Rice","2019","2019","ha","3264000","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5412","Yield","0113","Rice","2019","2019","kg/ha","3335.1","A","Official figure",""
"QCL","Crops and livestock products","116","Cambodia","5510","Production","0113","Rice","2019","2019","t","10885700","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","2019","2019","ha","29960066","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","2019","2019","kg/ha","7056.2","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","2019","2019","t","211405211.05","E","Estimated value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5312","Area harvested","0113","Rice","2019","2019","ha","0","I","Imputed value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5412","Yield","0113","Rice","2019","2019","kg/ha","2102.4","E","Estimated value",""
"QCL","Crops and livestock products","344","China, Hong Kong SAR","5510","Production","0113","Rice","2019","2019","t","0.05","I","Imputed value",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2019","2019","ha","29690000","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5412","Yield","0113","Rice","2019","2019","kg/ha","7060.1","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0113","Rice","2019","2019","t","209614000","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","0113","Rice","2019","2019","ha","270066","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5412","Yield","0113","Rice","2019","2019","kg/ha","6632.5","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","0113","Rice","2019","2019","t","1791211","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2019","2019","ha","43662000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2019","2019","kg/ha","4083.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2019","2019","t","178296000","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","0113","Rice","2019","2019","ha","10677887","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","0113","Rice","2019","2019","kg/ha","5113.7","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","0113","Rice","2019","2019","t","54604033","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5312","Area harvested","0113","Rice","2019","2019","ha","6921000","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5412","Yield","0113","Rice","2019","2019","kg/ha","3856.6","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5510","Production","0113","Rice","2019","2019","t","26691400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5312","Area harvested","0113","Rice","2019","2019","ha","3033959","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2019","2019","kg/ha","3665.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0113","Rice","2019","2019","t","11120483","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5312","Area harvested","0113","Rice","2019","2019","ha","4651490","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5412","Yield","0113","Rice","2019","2019","kg/ha","4044.9","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5510","Production","0113","Rice","2019","2019","t","18814827.29","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5312","Area harvested","0113","Rice","2019","2019","ha","9812614","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","0113","Rice","2019","2019","kg/ha","2916.4","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","2019","2019","t","28617948","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5312","Area harvested","0113","Rice","2019","2019","ha","7451544","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","0113","Rice","2019","2019","kg/ha","5837.1","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","0113","Rice","2019","2019","t","43495487.58","A","Official figure",""
