Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2017,11615000.0,54148000.0,4661.9
Cambodia,2017,3190000.0,10518000.0,3297.2
China,2017,31021867.0,214429949.05,6912.2
"China, Hong Kong SAR",2017,0.0,0.05,2101.1
"China, Taiwan Province of",2017,274677.0,1754049.0,6385.9
"China, mainland",2017,30747190.0,212675900.0,6916.9
India,2017,43774000.0,169128000.0,3863.7
Indonesia,2017,10900000.0,55252000.0,5069.0
Myanmar,2017,6745500.0,26035800.0,3859.7
Pakistan,2017,2900595.0,11174815.5,3852.6
Philippines,2017,4811808.0,19276346.63,4006.1
Thailand,2017,10719698.0,32898903.0,3069.0
Viet Nam,2017,7708534.0,42763682.38,5547.6
