Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2021,11700939.0,56383442.0,4818.7
Cambodia,2021,3498000.0,12207000.0,3489.7
China,2021,30145222.0,214403870.05,7112.4
"China, Hong Kong SAR",2021,0.0,0.05,2039.9
"China, Taiwan Province of",2021,224022.0,1560870.0,6967.5
"China, mainland",2021,29921200.0,212843000.0,7113.5
India,2021,46279000.0,194198000.0,4196.2
Indonesia,2021,10411801.0,54415294.22,5226.3
Myanmar,2021,7043300.0,27438300.0,3895.7
Pakistan,2021,3537369.0,13984009.0,3953.2
Philippines,2021,4805077.0,19960170.2,4154.0
Thailand,2021,11164655.0,32977775.0,2953.8
Viet Nam,2021,7219797.0,43852728.69,6074.0
