Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2014,11415642.0,51806593.0,4538.2
Cambodia,2014,3029000.0,9324000.0,3078.2
China,2014,31036151.0,211341310.05,6809.5
"China, Hong Kong SAR",2014,0.0,0.05,2030.6
"China, Taiwan Province of",2014,271051.0,1732210.0,6390.7
"China, mainland",2014,30765100.0,209609100.0,6813.2
India,2014,44110000.0,158214000.0,3586.8
Indonesia,2014,11473000.0,59059000.0,5147.7
Myanmar,2014,6869400.0,26848100.0,3908.4
Pakistan,2014,2890646.0,10504200.0,3633.9
Philippines,2014,4739672.0,18967826.17,4001.9
Thailand,2014,10664923.0,32620160.0,3058.6
Viet Nam,2014,7816476.0,44974206.0,5753.8
