Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2016,11000809.0,50452866.0,4586.3
Cambodia,2016,3100000.0,9952000.0,3210.3
China,2016,31019837.0,212681776.05,6856.3
"China, Hong Kong SAR",2016,0.0,0.05,2095.7
"China, Taiwan Province of",2016,273837.0,1587776.0,5798.3
"China, mainland",2016,30746000.0,211094000.0,6865.7
India,2016,43993400.0,164539000.0,3740.1
Indonesia,2016,10600000.0,54031000.0,5097.3
Myanmar,2016,6724000.0,26085100.0,3879.4
Pakistan,2016,2724013.0,10273968.0,3771.6
Philippines,2016,4556043.0,17627245.0,3869.0
Thailand,2016,10712000.0,31857000.0,2974.0
Viet Nam,2016,7734722.0,43112009.81,5573.8
