Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2023,11641645.0,58613458.0,5034.8
Cambodia,2023,3600387.0,12900000.0,3582.9
China,2023,29171100.0,208064200.06,7132.5
"China, Hong Kong SAR",2023,0.0,0.06,2059.0
"China, Taiwan Province of",2023,222000.0,1461000.0,6581.1
"China, mainland",2023,28949100.0,206603200.0,7136.8
India,2023,47828000.0,206727000.0,4322.3
Indonesia,2023,10213705.0,53980993.0,5285.2
Myanmar,2023,6463645.0,25650000.0,3968.3
Pakistan,2023,3636994.0,14803800.0,4070.3
Philippines,2023,4815813.0,20059561.96,4165.4
Thailand,2023,11189393.0,33070957.0,2955.6
Viet Nam,2023,7115058.0,43497624.81,6113.5
