Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2012,11423000.0,50497000.0,4420.6
Cambodia,2012,3007545.0,9290940.0,3089.2
China,2012,30736763.0,208232529.05,6774.7
"China, Hong Kong SAR",2012,0.0,0.05,2000.4
"China, Taiwan Province of",2012,260763.0,1700229.0,6520.2
"China, mainland",2012,30476000.0,206532300.0,6776.9
India,2012,42754000.0,157800000.0,3690.9
Indonesia,2012,11591000.0,59705000.0,5151.0
Myanmar,2012,6988800.0,26637800.0,3811.5
Pakistan,2012,2308800.0,8303850.0,3596.6
Philippines,2012,4690061.0,18032525.47,3844.8
Thailand,2012,11956781.0,38100189.0,3186.5
Viet Nam,2012,7761314.0,43737598.0,5635.3
