Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2013,11372000.0,51534000.0,4531.7
Cambodia,2013,2969000.0,9390000.0,3162.7
China,2013,30979865.0,207875104.05,6710.0
"China, Hong Kong SAR",2013,0.0,0.05,2000.4
"China, Taiwan Province of",2013,270165.0,1589504.0,5883.5
"China, mainland",2013,30709700.0,206285600.0,6717.3
India,2013,44135950.0,159960000.0,3624.3
Indonesia,2013,11631000.0,60095000.0,5166.8
Myanmar,2013,6952900.0,26795300.0,3853.8
Pakistan,2013,2789169.0,10467150.0,3752.8
Philippines,2013,4746091.0,18439419.73,3885.2
Thailand,2013,11684315.0,36762277.0,3146.3
Viet Nam,2013,7902813.0,44039100.0,5572.6
