Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2018,11515000.0,54416000.0,4725.7
Cambodia,2018,3248000.0,10892000.0,3353.4
China,2018,30460956.0,214078796.05,7028.0
"China, Hong Kong SAR",2018,0.0,0.05,2109.0
"China, Taiwan Province of",2018,271506.0,1949796.0,7181.4
"China, mainland",2018,30189450.0,212129000.0,7026.6
India,2018,44156000.0,174711000.0,3956.7
Indonesia,2018,11377934.0,59200534.0,5203.1
Myanmar,2018,7149300.0,28016100.0,3918.7
Pakistan,2018,2810030.0,10798000.0,3842.7
Philippines,2018,4800406.0,19066093.94,3971.8
Thailand,2018,10647941.0,32348114.0,3038.0
Viet Nam,2018,7570741.0,44046249.56,5818.0
