Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2015,11381221.0,51805464.0,4551.8
Cambodia,2015,3026000.0,9335000.0,3084.9
China,2015,31035861.0,213723732.05,6886.3
"China, Hong Kong SAR",2015,0.0,0.05,2079.4
"China, Taiwan Province of",2015,251861.0,1581732.0,6280.2
"China, mainland",2015,30784000.0,212142000.0,6891.3
India,2015,43499200.0,156604000.0,3600.2
Indonesia,2015,11389000.0,61031000.0,5358.8
Myanmar,2015,6769500.0,26630700.0,3933.9
Pakistan,2015,2739495.0,10201840.0,3724.0
Philippines,2015,4656227.0,18149837.78,3898.0
Thailand,2015,9717975.0,27702191.0,2850.6
Viet Nam,2015,7828607.0,45090561.89,5759.7
