Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2022,11692365.0,57189193.0,4891.2
Cambodia,2022,3303000.0,11624000.0,3519.2
China,2022,29689000.0,210070800.06,7075.7
"China, Hong Kong SAR",2022,0.0,0.06,2049.4
"China, Taiwan Province of",2022,239000.0,1576000.0,6594.1
"China, mainland",2022,29450000.0,208494800.0,7079.6
India,2022,47832000.0,203624000.0,4257.1
Indonesia,2022,10452672.0,54748977.08,5237.8
Myanmar,2022,7090300.0,27983100.0,3946.7
Pakistan,2022,2976239.0,10983081.0,3690.3
Philippines,2022,4804591.0,19756392.28,4112.0
Thailand,2022,11211657.0,33629506.0,2999.5
Viet Nam,2022,7088853.0,42660798.11,6018.0
