Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Bangladesh,2011,11528000.0,50627000.0,4391.7
Cambodia,2011,2968529.0,8779000.0,2957.4
China,2011,30592655.0,204548773.05,6686.2
"China, Hong Kong SAR",2011,0.0,0.05,2000.4
"China, Taiwan Province of",2011,254255.0,1666273.0,6553.6
"China, mainland",2011,30338400.0,202882500.0,6687.3
India,2011,44010000.0,157900000.0,3587.8
Indonesia,2011,11653000.0,58259000.0,4999.5
Myanmar,2011,7567000.0,29010000.0,3833.8
Pakistan,2011,2571200.0,9240600.0,3593.9
Philippines,2011,4536642.0,16684062.0,3677.6
Thailand,2011,11956638.0,38102720.0,3186.7
Viet Nam,2011,7655440.0,42398344.0,5538.3
