Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2013,232700.0,1563450.0,6718.7,6718.736570691877
Bolivia (Plurinational State of),2013,166299.0,442911.67,2663.3,2663.34535986386
Brazil,2013,2353152.0,11782549.0,5007.1,5007.134685732159
Chile,2013,21000.0,130307.0,6205.1,6205.095238095238
Colombia,2013,531700.0,2044300.0,3844.8,3844.837314274967
Ecuador,2013,396800.0,1216300.0,3065.3,3065.272177419355
Guyana,2013,164800.0,823930.0,4999.6,4999.575242718446
Paraguay,2013,98000.0,617400.0,6300.0,6300.0
Peru,2013,395651.0,3050934.0,7711.2,7711.174747441558
South America,2013,4805806.0,24377622.67,5072.5,5072.53573490066
Suriname,2013,58274.0,262029.0,4496.5,4496.499296427223
Uruguay,2013,172500.0,1359500.0,7881.2,7881.159420289855
Venezuela (Bolivarian Republic of),2013,214930.0,1084012.0,5043.6,5043.558367840692
