Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2015,232590.0,1558100.0,6698.9,6698.912249021884
Bolivia (Plurinational State of),2015,166357.0,527341.0,3169.9,3169.935740606046
Brazil,2015,2138397.0,12301201.0,5752.5,5752.53379049821
Chile,2015,23714.0,163559.6,6897.2,6897.174664754997
Colombia,2015,506800.0,2093100.0,4130.0,4130.031570639306
Ecuador,2015,375100.0,1326200.0,3535.6,3535.5905091975474
Guyana,2015,191000.0,1058100.0,5539.8,5539.79057591623
Paraguay,2015,128000.0,857771.0,6701.3,6701.3359375
Peru,2015,399501.0,3151408.0,7888.4,7888.360730010688
South America,2015,4550616.0,25503342.67,5604.4,5604.371511461306
Suriname,2015,59248.0,268447.07,4530.9,4530.905178233865
Uruguay,2015,160700.0,1396100.0,8687.6,8687.616677037959
Venezuela (Bolivarian Republic of),2015,169209.0,802015.0,4739.8,4739.789254708674
