Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2011,257445.0,1748075.0,6790.1,6790.09108741673
Bolivia (Plurinational State of),2011,178273.0,428007.0,2400.9,2400.8515030318667
Brazil,2011,2752891.0,13476994.0,4895.6,4895.578502744932
Chile,2011,25121.0,130375.0,5189.9,5189.880976075793
Colombia,2011,507709.0,2009945.0,3958.9,3958.8524134888294
Ecuador,2011,330000.0,1185900.0,3593.6,3593.636363636364
Guyana,2011,140400.0,619198.0,4410.2,4410.242165242165
Paraguay,2011,78606.0,408246.0,5193.6,5193.573009693917
Peru,2011,359612.0,2624458.0,7298.0,7298.026762177014
South America,2011,5072528.0,25527754.0,5032.6,5032.550633530263
Suriname,2011,56930.0,235298.0,4133.1,4133.11083787107
Uruguay,2011,196000.0,1643000.0,8382.7,8382.65306122449
Venezuela (Bolivarian Republic of),2011,189541.0,1018258.0,5372.2,5372.23081022048
