Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2007,164635.0,1080070.0,6560.4,6560.391168342089
Bolivia (Plurinational State of),2007,170005.0,352104.0,2071.1,2071.1390841445836
Brazil,2007,2890926.0,11060741.0,3826.0,3826.020105668564
Chile,2007,21765.0,110268.0,5066.3,5066.299104066161
Colombia,2007,431898.0,2117165.0,4902.0,4902.002324622943
Ecuador,2007,398151.0,1734135.0,4355.5,4355.470663140366
Guyana,2007,105900.0,458653.0,4331.0,4331.000944287063
Paraguay,2007,42000.0,130000.0,3095.2,3095.2380952380954
Peru,2007,337639.0,2256000.0,6681.7,6681.69257698311
South America,2007,4959231.0,21678705.0,4371.4,4371.384394072387
Suriname,2007,42087.0,179012.0,4253.4,4253.379903533158
Uruguay,2007,145400.0,1145700.0,7879.6,7879.642365887208
Venezuela (Bolivarian Republic of),2007,208825.0,1054857.0,5051.4,5051.392314138633
