Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2008,182460.0,1245800.0,6827.8,6827.797873506522
Bolivia (Plurinational State of),2008,155401.0,337800.0,2173.7,2173.731185771005
Brazil,2008,2850678.0,12061465.0,4231.1,4231.086429263494
Chile,2008,20960.0,121400.0,5792.0,5791.984732824427
Colombia,2008,493554.0,2412852.0,4888.7,4888.729500723324
Ecuador,2008,354841.0,1442052.0,4063.9,4063.938496396978
Guyana,2008,119800.0,507036.0,4232.4,4232.353923205343
Paraguay,2008,33870.0,144692.0,4272.0,4271.981104222025
Peru,2008,379783.0,2775800.0,7308.9,7308.91061474579
South America,2008,5019815.0,23654042.0,4712.1,4712.134212117378
Suriname,2008,43654.0,182877.0,4189.2,4189.238099601411
Uruguay,2008,168377.0,1330000.0,7898.9,7898.941066772778
Venezuela (Bolivarian Republic of),2008,216437.0,1092268.0,5046.6,5046.586304559756
