Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2004,169178.0,1060083.0,6266.1,6266.080696071593
Bolivia (Plurinational State of),2004,152193.0,331336.0,2177.1,2177.077789385846
Brazil,2004,3733148.0,13277008.0,3556.5,3556.5179842856483
Chile,2004,24900.0,119265.0,4789.8,4789.759036144578
Colombia,2004,519736.0,2496720.0,4803.8,4803.823479612727
Ecuador,2004,421548.0,1778380.0,4218.7,4218.689212141915
French Guiana,2004,8862.0,25529.0,2880.7,2880.726698262243
Guyana,2004,115700.0,500911.0,4329.4,4329.394987035436
Paraguay,2004,31000.0,125000.0,4032.3,4032.258064516129
Peru,2004,286468.0,1844896.0,6440.1,6440.146892497592
South America,2004,5896998.0,23970309.0,4064.8,4064.83247916991
Suriname,2004,49020.0,174490.0,3559.6,3559.5675234598125
Uruguay,2004,186465.0,1262600.0,6771.2,6771.243933177808
Venezuela (Bolivarian Republic of),2004,198780.0,974091.0,4900.3,4900.34711741624
