Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2017,204100.0,1328340.0,6508.3,6508.28025477707
Bolivia (Plurinational State of),2017,172824.0,478578.45,2769.2,2769.166608804333
Brazil,2017,2006202.0,12464766.0,6213.1,6213.1161268905125
Chile,2017,20937.0,127866.0,6107.2,6107.178678893824
Colombia,2017,662400.0,2703100.0,4080.8,4080.766908212561
Ecuador,2017,358100.0,1330500.0,3715.4,3715.4426137950295
Guyana,2017,173300.0,969400.0,5593.8,5593.768032313907
Paraguay,2017,140000.0,924000.0,6600.0,6600.0
Peru,2017,426253.0,3115544.0,7309.1,7309.142692250846
South America,2017,4556536.0,25729694.45,5646.8,5646.766414223436
Suriname,2017,59304.0,289431.0,4880.5,4880.46337515176
Uruguay,2017,164457.0,1409582.0,8571.1,8571.128015225864
Venezuela (Bolivarian Republic of),2017,168659.0,588587.0,3489.8,3489.8048725534954
