Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2005,158938.0,956253.0,6016.5,6016.515874114434
Bolivia (Plurinational State of),2005,188382.0,479246.0,2544.0,2544.011635931246
Brazil,2005,3915855.0,13192863.0,3369.1,3369.0887430714365
Chile,2005,25030.0,116832.0,4667.7,4667.67878545745
Colombia,2005,456005.0,2206512.0,4838.8,4838.789048365697
Ecuador,2005,377300.0,1471064.0,3898.9,3898.9239332096477
French Guiana,2005,8930.0,17774.0,1990.4,1990.3695408734602
Guyana,2005,106700.0,420365.0,3939.7,3939.6907216494847
Paraguay,2005,33500.0,102000.0,3044.8,3044.776119402985
Peru,2005,357883.0,2468357.0,6897.1,6897.106037447993
South America,2005,6074065.0,23814239.0,3920.6,3920.6427655943753
Suriname,2005,45563.0,163955.0,3598.4,3598.424159954349
Uruguay,2005,184000.0,1214500.0,6600.5,6600.543478260869
Venezuela (Bolivarian Republic of),2005,215979.0,1004518.0,4651.0,4650.998476703753
