Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2010,215670.0,1243259.0,5764.6,5764.635786154773
Bolivia (Plurinational State of),2010,194237.0,442017.0,2275.7,2275.658087799956
Brazil,2010,2722459.0,11235986.0,4127.1,4127.146083742676
Chile,2010,24527.0,94672.5,3859.9,3859.9298732009624
Colombia,2010,482297.0,1988191.0,4122.3,4122.337480846864
Ecuador,2010,393100.0,1369100.0,3482.8,3482.828796743831
Guyana,2010,131400.0,556193.0,4232.8,4232.823439878234
Paraguay,2010,59476.0,315213.0,5299.8,5299.835227654852
Peru,2010,388659.0,2831374.0,7285.0,7284.982465348801
South America,2010,5007733.0,22351013.5,4463.3,4463.299760590271
Suriname,2010,53553.0,226686.0,4232.9,4232.9281272757835
Uruguay,2010,161900.0,1148738.0,7095.4,7095.355157504632
Venezuela (Bolivarian Republic of),2010,180455.0,899584.0,4985.1,4985.087694993212
