Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2014,243200.0,1581810.0,6504.2,6504.152960526316
Bolivia (Plurinational State of),2014,174925.0,484057.0,2767.2,2767.225953980277
Brazil,2014,2340878.0,12175602.0,5201.3,5201.2971201403925
Chile,2014,22398.0,134884.0,6022.1,6022.1448343602115
Colombia,2014,461300.0,1853500.0,4018.0,4017.9926295252544
Ecuador,2014,354100.0,1107300.0,3127.1,3127.0827449872913
Guyana,2014,185400.0,977300.0,5271.3,5271.305285868393
Paraguay,2014,120000.0,804000.0,6700.0,6700.0
Peru,2014,381368.0,2896613.0,7595.3,7595.322628012837
South America,2014,4739777.0,24797273.0,5231.7,5231.73832861757
Suriname,2014,62211.0,275851.0,4434.1,4434.119367957435
Uruguay,2014,167400.0,1348300.0,8054.4,8054.360812425328
Venezuela (Bolivarian Republic of),2014,226597.0,1158056.0,5110.6,5110.641358888246
