Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2023,173002.0,1163209.0,6723.7,6723.673714754742
Bolivia (Plurinational State of),2023,208226.0,698543.58,3354.7,3354.7375447830723
Brazil,2023,1482748.0,10285663.0,6936.9,6936.892175878842
Chile,2023,17945.0,109232.5,6087.1,6087.0716076901645
Colombia,2023,667500.0,3006100.0,4503.5,4503.520599250936
Ecuador,2023,343050.0,1313000.0,3827.4,3827.4304037312345
Guyana,2023,162801.0,995000.0,6111.8,6111.756070294408
Paraguay,2023,170100.0,978450.0,5752.2,5752.204585537918
Peru,2023,417103.0,3367614.31,8073.8,8073.819440282136
South America,2023,4031824.0,24215038.4,6006.0,6005.976054510315
Suriname,2023,49808.0,203155.93,4078.8,4078.781119498876
Uruguay,2023,147000.0,1372700.0,9338.1,9338.095238095239
Venezuela (Bolivarian Republic of),2023,192541.0,722370.07,3751.8,3751.772713344171
