Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2016,207740.0,1404980.0,6763.2,6763.165495330702
Bolivia (Plurinational State of),2016,163904.0,406954.0,2482.9,2482.880222569309
Brazil,2016,1943938.0,10622189.0,5464.3,5464.263263540298
Chile,2016,26540.0,174008.0,6556.4,6556.443104747551
Colombia,2016,610600.0,2645300.0,4332.3,4332.296102194562
Ecuador,2016,366200.0,1231300.0,3362.4,3362.370289459312
Guyana,2016,150200.0,822200.0,5474.0,5474.034620505992
Paraguay,2016,130000.0,858000.0,6600.0,6600.0
Peru,2016,414401.0,3190969.47,7700.2,7700.197320952411
South America,2016,4363515.0,23437118.89,5371.2,5371.155797562286
Suriname,2016,62713.0,278077.0,4434.1,4434.12051727712
Uruguay,2016,161194.0,1304672.0,8093.8,8093.800017370373
Venezuela (Bolivarian Republic of),2016,126085.0,498469.42,3953.4,3953.4395050957687
