Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2019,183285.0,1189866.0,6491.9,6491.889680006548
Bolivia (Plurinational State of),2019,187281.0,600044.0,3204.0,3203.9769116995317
Brazil,2019,1710063.0,10368639.0,6063.3,6063.308193908646
Chile,2019,26242.0,174897.2,6664.8,6664.781647740264
Colombia,2019,591000.0,2639200.0,4465.7,4465.651438240271
Ecuador,2019,257300.0,882400.0,3429.5,3429.4597745821998
Guyana,2019,177800.0,1049900.0,5904.9,5904.949381327335
Paraguay,2019,162000.0,1069200.0,6600.0,6600.0
Peru,2019,414401.0,3190969.47,7700.2,7700.197320952411
South America,2019,4064808.0,23156133.67,5696.7,5696.734918352848
Suriname,2019,60185.0,274266.0,4557.0,4557.0490986126115
Uruguay,2019,145000.0,1200000.0,8275.9,8275.862068965518
Venezuela (Bolivarian Republic of),2019,150251.0,516752.0,3439.3,3439.2583077650065
