Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2009,193800.0,1334155.0,6884.2,6884.184726522188
Bolivia (Plurinational State of),2009,186804.0,410994.0,2200.1,2200.13490075159
Brazil,2009,2872036.0,12651144.0,4404.9,4404.939213853865
Chile,2009,23680.0,127311.0,5376.3,5376.309121621622
Colombia,2009,528138.0,2479921.0,4695.6,4695.592818543639
Ecuador,2009,394813.0,1579406.0,4000.4,4000.3900580781283
Guyana,2009,124800.0,553522.0,4435.3,4435.272435897436
Paraguay,2009,50000.0,215000.0,4300.0,4300.0
Peru,2009,404614.0,2991157.0,7392.6,7392.618643942128
South America,2009,5223494.0,24959691.0,4778.4,4778.351616753078
Suriname,2009,54492.0,229370.0,4209.2,4209.2417235557505
Uruguay,2009,160700.0,1287200.0,8010.0,8009.956440572495
Venezuela (Bolivarian Republic of),2009,229617.0,1100511.0,4792.8,4792.811507858739
