Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2021,199993.0,1453187.0,7266.2,7266.189316626082
Bolivia (Plurinational State of),2021,178744.0,550181.52,3078.0,3078.041892315267
Brazil,2021,1689190.0,11660605.0,6903.1,6903.074846524074
Chile,2021,22965.0,146085.1,6361.2,6361.206183322447
Colombia,2021,665200.0,2980400.0,4480.5,4480.457005411906
Ecuador,2021,340300.0,1207000.0,3546.9,3546.870408463121
Guyana,2021,155800.0,860000.0,5519.9,5519.8973042362
Paraguay,2021,178000.0,1180600.0,6632.6,6632.584269662921
Peru,2021,425109.0,3538443.59,8323.6,8323.614861129734
South America,2021,4219230.0,25866251.21,6130.6,6130.5620243504145
Suriname,2021,56861.0,263749.0,4638.5,4638.486836320149
Uruguay,2021,139300.0,1309000.0,9397.0,9396.984924623115
Venezuela (Bolivarian Republic of),2021,167767.0,717000.0,4273.8,4273.784474896732
