Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2006,169025.0,1193492.0,7061.0,7061.038307942612
Bolivia (Plurinational State of),2006,168399.0,446462.0,2651.2,2651.215268499219
Brazil,2006,2970918.0,11526685.0,3879.8,3879.8394974213356
Chile,2006,27980.0,160315.0,5729.6,5729.628305932809
Colombia,2006,429911.0,1965414.0,4571.7,4571.676463267979
Ecuador,2006,357558.0,1501238.0,4198.6,4198.585963675823
French Guiana,2006,8838.0,15073.0,1705.5,1705.4763521158634
Guyana,2006,102100.0,472363.0,4626.5,4626.474045053869
Paraguay,2006,42000.0,126000.0,3000.0,3000.0
Peru,2006,343691.0,2362260.0,6873.2,6873.208783471199
South America,2006,5068781.0,22367231.0,4412.7,4412.743616265922
Suriname,2006,44232.0,182659.0,4129.6,4129.566829444746
Uruguay,2006,177300.0,1292400.0,7289.3,7289.340101522843
Venezuela (Bolivarian Republic of),2006,226829.0,1122870.0,4950.3,4950.292951959405
