Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2012,235372.0,1567971.0,6661.7,6661.6717366551675
Bolivia (Plurinational State of),2012,157502.0,474664.2,3013.7,3013.7026831405315
Brazil,2012,2413288.0,11549881.0,4786.0,4785.9521946821105
Chile,2012,23991.0,149788.0,6243.5,6243.507982159977
Colombia,2012,481500.0,1945400.0,4040.3,4040.290758047767
Ecuador,2012,371200.0,1256200.0,3384.2,3384.1594827586205
Guyana,2012,143400.0,649320.0,4528.0,4528.033472803348
Paraguay,2012,80000.0,396000.0,4950.0,4950.0
Peru,2012,390919.0,3043330.45,7785.1,7785.066599474571
South America,2012,4739415.0,23726559.65,5006.2,5006.221158096516
Suriname,2012,51379.0,224127.0,4362.2,4362.229704743183
Uruguay,2012,181371.0,1424000.0,7851.3,7851.310297677137
Venezuela (Bolivarian Republic of),2012,209493.0,1045878.0,4992.4,4992.424567885323
