Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2020,185300.0,1222910.0,6599.6,6599.622234214788
Bolivia (Plurinational State of),2020,176516.0,487427.0,2761.4,2761.3757393097508
Brazil,2020,1677705.0,11091011.0,6610.8,6610.823118486265
Chile,2020,26394.0,169697.0,6429.4,6429.377888914148
Colombia,2020,656000.0,3038500.0,4631.9,4631.859756097561
Ecuador,2020,312900.0,1072400.0,3427.3,3427.2930648769575
Guyana,2020,185500.0,1057600.0,5701.3,5701.347708894879
Paraguay,2020,180000.0,1187768.0,6598.7,6598.711111111111
Peru,2020,416910.0,3434199.0,8237.3,8237.267036050946
South America,2020,4188710.0,24924879.0,5950.5,5950.4904851374295
Suriname,2020,57838.0,249836.0,4319.6,4319.582281545005
Uruguay,2020,140300.0,1209000.0,8617.2,8617.248752672844
Venezuela (Bolivarian Republic of),2020,173347.0,704531.0,4064.3,4064.281470114857
