Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0113","Rice","2006","2006","ha","169025","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2006","2006","kg/ha","7061","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0113","Rice","2006","2006","t","1193492","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0113","Rice","2006","2006","ha","168399","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","0113","Rice","2006","2006","kg/ha","2651.2","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0113","Rice","2006","2006","t","446462","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2006","2006","ha","2970918","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0113","Rice","2006","2006","kg/ha","3879.8","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2006","2006","t","11526685","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0113","Rice","2006","2006","ha","27980","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","0113","Rice","2006","2006","kg/ha","5729.6","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0113","Rice","2006","2006","t","160315","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0113","Rice","2006","2006","ha","429911","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","0113","Rice","2006","2006","kg/ha","4571.7","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","0113","Rice","2006","2006","t","1965414","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","0113","Rice","2006","2006","ha","357558","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5412","Yield","0113","Rice","2006","2006","kg/ha","4198.6","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0113","Rice","2006","2006","t","1501238","A","Official figure",""
"QCL","Crops and livestock products","254","French Guiana","5312","Area harvested","0113","Rice","2006","2006","ha","8838","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","254","French Guiana","5412","Yield","0113","Rice","2006","2006","kg/ha","1705.5","X","Figure from international organizations",""
"QCL","Crops and livestock products","254","French Guiana","5510","Production","0113","Rice","2006","2006","t","15073","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","328","Guyana","5312","Area harvested","0113","Rice","2006","2006","ha","102100","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5412","Yield","0113","Rice","2006","2006","kg/ha","4626.5","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","0113","Rice","2006","2006","t","472363","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0113","Rice","2006","2006","ha","42000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5412","Yield","0113","Rice","2006","2006","kg/ha","3000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0113","Rice","2006","2006","t","126000","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0113","Rice","2006","2006","ha","343691","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5412","Yield","0113","Rice","2006","2006","kg/ha","6873.2","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0113","Rice","2006","2006","t","2362260","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5312","Area harvested","0113","Rice","2006","2006","ha","44232","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5412","Yield","0113","Rice","2006","2006","kg/ha","4129.6","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5510","Production","0113","Rice","2006","2006","t","182659","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5312","Area harvested","0113","Rice","2006","2006","ha","177300","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2006","2006","kg/ha","7289.3","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0113","Rice","2006","2006","t","1292400","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5312","Area harvested","0113","Rice","2006","2006","ha","226829","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5412","Yield","0113","Rice","2006","2006","kg/ha","4950.3","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0113","Rice","2006","2006","t","1122870","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5312","Area harvested","0113","Rice","2006","2006","ha","5068781","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5412","Yield","0113","Rice","2006","2006","kg/ha","4412.7","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5510","Production","0113","Rice","2006","2006","t","22367231","A","Official figure",""
