Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0113","Rice","2008","2008","ha","182460","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2008","2008","kg/ha","6827.8","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0113","Rice","2008","2008","t","1245800","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0113","Rice","2008","2008","ha","155401","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","0113","Rice","2008","2008","kg/ha","2173.7","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0113","Rice","2008","2008","t","337800","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2008","2008","ha","2850678","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0113","Rice","2008","2008","kg/ha","4231.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2008","2008","t","12061465","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0113","Rice","2008","2008","ha","20960","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","0113","Rice","2008","2008","kg/ha","5792","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0113","Rice","2008","2008","t","121400","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0113","Rice","2008","2008","ha","493554","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","0113","Rice","2008","2008","kg/ha","4888.7","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","0113","Rice","2008","2008","t","2412852","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","0113","Rice","2008","2008","ha","354841","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5412","Yield","0113","Rice","2008","2008","kg/ha","4063.9","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0113","Rice","2008","2008","t","1442052","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5312","Area harvested","0113","Rice","2008","2008","ha","119800","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5412","Yield","0113","Rice","2008","2008","kg/ha","4232.4","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","0113","Rice","2008","2008","t","507036","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0113","Rice","2008","2008","ha","33870","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5412","Yield","0113","Rice","2008","2008","kg/ha","4272","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0113","Rice","2008","2008","t","144692","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0113","Rice","2008","2008","ha","379783","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5412","Yield","0113","Rice","2008","2008","kg/ha","7308.9","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0113","Rice","2008","2008","t","2775800","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5312","Area harvested","0113","Rice","2008","2008","ha","43654","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5412","Yield","0113","Rice","2008","2008","kg/ha","4189.2","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5510","Production","0113","Rice","2008","2008","t","182877","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5312","Area harvested","0113","Rice","2008","2008","ha","168377","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2008","2008","kg/ha","7898.9","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0113","Rice","2008","2008","t","1330000","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5312","Area harvested","0113","Rice","2008","2008","ha","216437","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5412","Yield","0113","Rice","2008","2008","kg/ha","5046.6","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0113","Rice","2008","2008","t","1092268","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5312","Area harvested","0113","Rice","2008","2008","ha","5019815","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5412","Yield","0113","Rice","2008","2008","kg/ha","4712.1","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5510","Production","0113","Rice","2008","2008","t","23654042","A","Official figure",""
