Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0113","Rice","2009","2009","ha","193800","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","0113","Rice","2009","2009","kg/ha","6884.2","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0113","Rice","2009","2009","t","1334155","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0113","Rice","2009","2009","ha","186804","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","0113","Rice","2009","2009","kg/ha","2200.1","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0113","Rice","2009","2009","t","410994","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2009","2009","ha","2872036","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0113","Rice","2009","2009","kg/ha","4404.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2009","2009","t","12651144","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0113","Rice","2009","2009","ha","23680","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","0113","Rice","2009","2009","kg/ha","5376.3","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0113","Rice","2009","2009","t","127311","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","0113","Rice","2009","2009","ha","528138","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","0113","Rice","2009","2009","kg/ha","4695.6","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","0113","Rice","2009","2009","t","2479921","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5312","Area harvested","0113","Rice","2009","2009","ha","394813","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5412","Yield","0113","Rice","2009","2009","kg/ha","4000.4","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0113","Rice","2009","2009","t","1579406","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5312","Area harvested","0113","Rice","2009","2009","ha","124800","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5412","Yield","0113","Rice","2009","2009","kg/ha","4435.3","A","Official figure",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","0113","Rice","2009","2009","t","553522","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5312","Area harvested","0113","Rice","2009","2009","ha","50000","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5412","Yield","0113","Rice","2009","2009","kg/ha","4300","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0113","Rice","2009","2009","t","215000","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0113","Rice","2009","2009","ha","404614","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5412","Yield","0113","Rice","2009","2009","kg/ha","7392.6","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0113","Rice","2009","2009","t","2991157","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5312","Area harvested","0113","Rice","2009","2009","ha","54492","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5412","Yield","0113","Rice","2009","2009","kg/ha","4209.2","A","Official figure",""
"QCL","Crops and livestock products","740","Suriname","5510","Production","0113","Rice","2009","2009","t","229370","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5312","Area harvested","0113","Rice","2009","2009","ha","160700","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","0113","Rice","2009","2009","kg/ha","8010","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0113","Rice","2009","2009","t","1287200","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5312","Area harvested","0113","Rice","2009","2009","ha","229617","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5412","Yield","0113","Rice","2009","2009","kg/ha","4792.8","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0113","Rice","2009","2009","t","1100511","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5312","Area harvested","0113","Rice","2009","2009","ha","5223494","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5412","Yield","0113","Rice","2009","2009","kg/ha","4778.4","A","Official figure",""
"QCL","Crops and livestock products","005","South America","5510","Production","0113","Rice","2009","2009","t","24959691","A","Official figure",""
